number, runtime (milliseconds), runtime (nanoseconds), prime factors
1220316870,359,366734105,[2; 3; 5; 40677229]
1221717057,0,50461,[3; 11; 41; 167; 5407]
1231568595,0,158225,[3; 3; 5; 1543; 17737]
1232157818,5657,5651222669,[2; 616078909]
1232449043,0,59442,[7; 23; 1187; 6449]
1232719447,11078,11074404445,[1232719447]
1237070652,922,933436650,[2; 2; 3; 103089221]
1238289166,0,24802,[2; 19; 47; 277; 2503]
1238748410,16,4334497,[2; 5; 263; 471007]
1241290852,0,132995,[2; 2; 59; 419; 12553]
1242141031,11079,11091794176,[1242141031]
1242705238,15,5933420,[2; 967; 642557]
1253649086,0,773589,[2; 23; 311; 87631]
1257977648,0,369476,[2; 2; 2; 2; 1987; 39569]
1260079511,0,738097,[37; 409; 83267]
1260476130,16,16495121,[2; 3; 5; 23; 1826777]
1262423952,78,78344236,[2; 2; 2; 2; 3; 3; 8766833]
1266873264,31,26488925,[2; 2; 2; 2; 3; 3; 3; 2932577]
1267210513,11298,11300317432,[1267210513]
1267363303,0,1267079,[8831; 143513]
1271205124,0,1025038,[2; 2; 7; 17; 23; 116113]
1273145124,31,32585273,[2; 2; 3; 29; 3658463]
1279304881,11391,11386641744,[1279304881]
1279413838,5688,5688019282,[2; 639706919]
1284426865,0,319015,[5; 7151; 35923]
1285066404,109,106182773,[2; 2; 3; 3; 3; 11898763]
1285982433,0,296350,[3; 3; 3; 1427; 33377]
1288105902,0,888623,[2; 3; 3; 3; 3; 79; 100649]
1289353060,16,15573143,[2; 2; 5; 37; 1742369]
1290322826,0,1219612,[2; 13; 359; 138239]
1293191967,31,21258535,[3; 181; 2381569]
1296974569,32,36722203,[11; 29; 4065751]
1298111060,0,5643056,[2; 2; 5; 103; 630151]
1298348638,15,15922947,[2; 379; 1712861]
1300738206,0,839017,[2; 3; 2309; 93889]
1301814665,2344,2330303120,[5; 260362933]
1304478018,641,644082039,[2; 3; 3; 72471001]
1306322969,1656,1664185962,[7; 186617567]
1306501982,0,268126,[2; 23; 23; 41; 30119]
1310610116,0,184310,[2; 2; 15773; 20773]
1319524748,31,22446502,[2; 2; 131; 2518177]
1321434890,0,4532919,[2; 5; 257; 514177]
1321968443,11813,11815555097,[1321968443]
1323526617,0,147961,[3; 3; 7; 31; 41; 16529]
1325081223,0,1120829,[3; 3; 19; 61; 127033]
1325869931,297,288845299,[41; 32338291]
1326523758,0,299344,[2; 3; 7; 23; 41; 33493]
1326960857,719,713159021,[17; 78056521]
1330237242,0,749214,[2; 3; 3; 3; 3; 97; 84653]
1332024558,1969,1971003858,[2; 3; 222004093]
1339008881,0,315166,[7; 5387; 35509]
1342417954,16,15231036,[2; 17; 23; 1716647]
1344539865,31,34831207,[3; 5; 23; 3897217]
1346571438,2000,1995548759,[2; 3; 224428573]
1348552499,1719,1716748580,[7; 192650357]
1352904010,0,11118,[2; 5; 277; 503; 971]
1355276638,6047,6046633473,[2; 677638319]
1357967245,78,78024366,[5; 31; 8761079]
1368645018,0,222797,[2; 3; 13; 701; 25031]
1373474747,0,6619345,[31; 59; 750943]
1380260464,0,4066798,[2; 2; 2; 2; 11; 17; 461317]
1384881396,0,165067,[2; 2; 3; 6199; 18617]
1385799089,0,2003465,[47; 131; 225077]
1385954132,62,52119161,[2; 2; 59; 5872687]
1391996560,0,1583101,[2; 2; 2; 2; 5; 97; 179381]
1393954727,125,125765839,[11; 11; 11520287]
1394798952,0,375462,[2; 2; 2; 3; 1381; 42083]
1395121618,0,25230,[2; 11; 29; 823; 2657]
1400749245,63,68722046,[3; 3; 5; 7; 4446823]
1400785803,16,12991945,[3; 3; 149; 1044583]
1400875232,0,147106,[2; 2; 2; 2; 2; 47; 59; 15787]
1403402201,593,586083768,[23; 61017487]
1404254300,0,134277,[2; 2; 5; 5; 941; 14923]
1405280667,0,366054,[3; 7; 1619; 41333]
1405680712,1563,1569291013,[2; 2; 2; 175710089]
1410274559,0,343818,[17; 2141; 38747]
1411877004,0,28224,[2; 2; 3; 19; 2039; 3037]
1413449936,16,4893842,[2; 2; 2; 2; 163; 541967]
1416641216,0,10447951,[2; 2; 2; 2; 2; 2; 19; 1165001]
1416694840,31,28880253,[2; 2; 2; 5; 11; 3219761]
1419166810,0,3467255,[2; 5; 19; 19; 393121]
1420499391,140,136150072,[3; 31; 15274187]
1421269265,0,15395,[5; 13; 29; 499; 1511]
1432732538,0,89803,[2; 197; 373; 9749]
1434946870,32,26396556,[2; 5; 7; 7; 2928463]
1439491571,0,456285,[7; 7; 571; 51449]
1448653503,0,38915,[3; 11; 11; 941; 4241]
1450199204,3234,3230184623,[2; 2; 362549801]
1451928299,0,26514,[17; 113; 271; 2789]
1453145176,0,2566,[2; 2; 2; 7; 7; 17; 17; 101; 127]
1455434523,0,1831128,[3; 3; 19; 41; 207593]
1456589339,12954,12961867887,[1456589339]
1456654527,0,33356,[3; 3; 109; 421; 3527]
1460796129,16,2652185,[3; 3; 13; 43; 290359]
1463249667,390,394997710,[3; 11; 44340899]
1463382484,3282,3289159609,[2; 2; 365845621]
1469108894,0,10263,[2; 11; 163; 499; 821]
1470344790,0,58586,[2; 3; 5; 17; 449; 6421]
1472252471,578,574991800,[23; 64010977]
1473415486,0,368193,[2; 17749; 41507]
1480375895,0,408818,[5; 17; 379; 45953]
1481088588,15,7416027,[2; 2; 3; 7; 23; 766609]
1482705499,0,1196519,[11; 997; 135197]
1483141731,0,306186,[3; 14293; 34589]
1487976572,79,73491019,[2; 2; 47; 7914769]
1489247292,78,84554762,[2; 2; 3; 13; 9546457]
1490249961,0,993394,[3; 3; 3; 541; 102023]
1493738668,3359,3357359087,[2; 2; 373434667]
1493876646,0,5265456,[2; 3; 3; 139; 597073]
1496700706,391,393994481,[2; 17; 44020609]
1498939502,0,2776199,[2; 2381; 314771]
1499139070,0,139409,[2; 5; 11; 13; 67; 15647]
1500245031,0,31645,[3; 31; 37; 127; 3433]
1500789634,171,181951371,[2; 37; 20280941]
1501441494,329,329227193,[2; 3; 7; 35748607]
1501850540,0,249739,[2; 2; 5; 2677; 28051]
1506170799,218,215121220,[3; 3; 7; 23907473]
1506393413,32,20945507,[7; 97; 2218547]
1507150530,0,120592,[2; 3; 3; 3; 5; 421; 13259]
1510149631,13219,13232412595,[1510149631]
1510988725,547,536806234,[5; 5; 60439549]
1518439651,0,737668,[109; 167; 83417]
1518617014,6766,6770162616,[2; 759308507]
1519356100,0,103915,[2; 2; 5; 5; 1319; 11519]
1521115654,6781,6778430917,[2; 760557827]
1523525281,13548,13545005257,[1523525281]
1526247388,0,22236,[2; 2; 337; 499; 2269]
1527498463,13407,13411888393,[1527498463]
1528784624,859,850278539,[2; 2; 2; 2; 95549039]
1529548497,78,88039978,[3; 3; 17; 9997049]
1531673479,0,322436,[7; 6029; 36293]
1532255148,0,523424,[2; 2; 3; 3; 719; 59197]
1534385455,0,91941,[5; 31; 31; 31; 10301]
1535033683,0,1290599,[17; 617; 146347]
1537176136,1735,1722395485,[2; 2; 2; 192147017]
1541550496,0,93224,[2; 2; 2; 2; 2; 4663; 10331]
1542519003,0,27797,[3; 79; 2153; 3023]
1543033712,0,324574,[2; 2; 2; 2; 11; 239; 36683]
1545164823,0,7520797,[3; 617; 834773]
1546731010,0,1159743,[2; 5; 11; 107; 131413]
1547478233,0,1347902,[7; 1447; 152777]
1550259841,15,1561719,[13; 743; 160499]
1550510920,0,998098,[2; 2; 2; 5; 7; 7; 7; 113011]
1551339970,1407,1409063443,[2; 5; 155133997]
1551773882,218,226239700,[2; 31; 25028611]
1558297272,94,82792055,[2; 2; 2; 3; 7; 9275579]
1558536138,0,8576198,[2; 3; 3; 89; 972869]
1561827169,16,8069023,[7; 251; 888917]
1567116032,0,3175182,[2; 2; 2; 2; 2; 2; 2; 2; 17; 360091]
1567336109,0,1007933,[13721; 114229]
1571577190,15,19916192,[2; 5; 71; 2213489]
1579967884,0,9408,[2; 2; 11; 127; 337; 839]
1580974743,0,135987,[3; 19; 1847; 15017]
1582631324,94,87342080,[2; 2; 41; 9650191]
1583385446,47,55902438,[2; 137; 5778779]
1584149594,7079,7065248803,[2; 792074797]
1586967387,46,56620008,[3; 83; 6373363]
1588765644,0,3506170,[2; 2; 3; 3; 3; 37; 397589]
1591670178,16,379312,[2; 3; 3; 7; 1787; 7069]
1592179589,0,4277,[7; 7; 7; 11; 11; 13; 13; 227]
1592234749,0,292074,[7; 61; 113; 32999]
1593257927,0,29079,[31; 107; 151; 3181]
1594099159,14188,14198687677,[1594099159]
1596849263,0,449016,[41; 769; 50647]
1601546157,94,83502783,[3; 3; 19; 9365767]
1603611763,0,370331,[13; 13; 227; 41801]
1604221519,14266,14276363949,[1604221519]
1605688592,0,29507,[2; 2; 2; 2; 109; 307; 2999]
1607420504,0,446450,[2; 2; 2; 23; 173; 50497]
1609470860,0,8125,[2; 2; 5; 227; 461; 769]
1611404522,16,6268257,[2; 7; 13; 13; 681067]
1611719006,0,35494,[2; 313; 677; 3803]
1614706371,1656,1655090618,[3; 3; 179411819]
1615258720,0,127435,[2; 2; 2; 2; 2; 5; 23; 31; 14159]
1616744485,0,154804,[5; 19; 977; 17419]
1616871962,7188,7190684082,[2; 808435981]
1619305743,31,25618262,[3; 11; 17; 2886463]
1621520487,1594,1600165751,[3; 3; 180168943]
1626770539,0,5131,[31; 43; 43; 101; 281]
1630036666,0,1077210,[2; 6679; 122027]
1631749848,0,4719367,[2; 2; 2; 3; 127; 535351]
1631773807,14532,14523921624,[1631773807]
1635785021,0,257008,[13; 4349; 28933]
1636564259,0,3421,[11; 19; 19; 19; 109; 199]
1642023711,0,1536916,[3; 3; 3; 349; 174257]
1642752926,16,16553707,[2; 439; 1871017]
1648315126,109,103543844,[2; 71; 11607853]
1648526300,141,149105240,[2; 2; 5; 5; 16485263]
1648942759,15,7970668,[19; 103; 842587]
1649190530,110,114970222,[2; 5; 13; 12686081]
1650279950,0,78684,[2; 5; 5; 11; 347; 8647]
1651134814,1062,1053950289,[2; 7; 117938201]
1654742719,125,123395891,[7; 17; 13905401]
1655789824,0,30790,[2; 2; 2; 2; 2; 2; 2; 2; 13; 157; 3169]
1657826990,0,124441,[2; 5; 31; 383; 13963]
1658791768,0,20526,[2; 2; 2; 193; 499; 2153]
1660014232,0,2625244,[2; 2; 2; 17; 41; 297707]
1663278000,0,2444783,[2; 2; 2; 2; 3; 5; 5; 5; 277213]
1668028874,7423,7429225097,[2; 834014437]
1668030753,15,10007488,[3; 499; 1114249]
1669487286,0,1793069,[2; 3; 37; 37; 203249]
1669583691,16,5666576,[3; 3; 3; 97; 637489]
1671770441,0,4768117,[11; 281; 540851]
1674076125,0,966880,[3; 5; 5; 5; 41; 108883]
1674486862,0,1015203,[2; 71; 103; 114487]
1676170193,14969,14961721637,[1676170193]
1679943397,1391,1399598623,[11; 152722127]
1683170166,2906,2898507942,[2; 3; 280528361]
1695652078,0,2555112,[2; 2927; 289657]
1697707030,1610,1609763566,[2; 5; 169770703]
1698643569,750,746804398,[3; 7; 80887789]
1699656471,1829,1833077822,[3; 3; 188850719]
1700711278,1125,1128751578,[2; 7; 121479377]
1700997386,0,988262,[2; 11; 691; 111893]
1701598442,453,448956979,[2; 17; 50047013]
1710369670,0,2496527,[2; 5; 631; 271057]
1711184902,0,1632278,[2; 7; 661; 184913]
1711822661,15235,15226976513,[1711822661]
1712143448,32,40838179,[2; 2; 2; 47; 4553573]
1713241238,7625,7625119043,[2; 856620619]
1715869088,0,11974,[2; 2; 2; 2; 2; 73; 691; 1063]
1716406761,16,4320813,[3; 1277; 448031]
1717942241,15282,15288013978,[1717942241]
1721384230,0,480233,[2; 5; 19; 167; 54251]
1724561594,0,189014,[2; 7; 53; 109; 21323]
1724982106,15,9030772,[2; 23; 37; 1013503]
1727323776,16,13363986,[2; 2; 2; 2; 2; 2; 2; 3; 3; 1499413]
1728182503,0,3456137,[4409; 391967]
1730202919,15391,15398425196,[1730202919]
1730411030,0,175330,[2; 5; 8839; 19577]
1737250776,0,7270,[2; 2; 2; 3; 3; 173; 211; 661]
1738221303,63,56407046,[3; 7; 13; 6367111]
1739599172,0,13257,[2; 2; 419; 809; 1283]
1744581307,15,8588171,[7; 263; 947627]
1746460203,0,1047275,[3; 4909; 118589]
1748368575,0,23947,[3; 3; 5; 5; 23; 131; 2579]
1750034562,0,1514252,[2; 3; 1699; 171673]
1755829070,47,54648615,[2; 5; 29; 6054583]
1756956714,0,691912,[2; 3; 19; 197; 78233]
1761178900,0,77402,[2; 2; 5; 5; 13; 157; 8629]
1763617526,719,719349449,[2; 11; 80164433]
1764466949,0,1558725,[7; 1427; 176641]
1765937840,203,197207209,[2; 2; 2; 2; 5; 22074223]
1767227216,16,14781592,[2; 2; 2; 2; 73; 1513037]
1767359909,2250,2252227866,[7; 252479987]
1767607360,47,48997861,[2; 2; 2; 2; 2; 2; 5; 5523773]
1776407700,62,52965876,[2; 2; 3; 5; 5; 5921359]
1779627460,0,21809,[2; 2; 5; 13; 13; 239; 2203]
1779832962,0,311318,[2; 3; 3; 53; 53; 35201]
1782052047,0,120166,[3; 3; 17; 19; 47; 13043]
1783437985,0,1979517,[5; 7; 227; 224473]
1785559701,16,12621614,[3; 419; 1420493]
1788181883,0,90230,[163; 1093; 10037]
1789684246,0,184310,[2; 7; 61; 101; 20749]
1790866367,0,1485600,[10631; 168457]
1792759393,0,1519810,[101; 103; 172331]
1793877318,0,25231,[2; 3; 3; 23; 1609; 2693]
1794898271,15985,15990899951,[1794898271]
1795398020,62,61380855,[2; 2; 5; 13; 6905377]
1799295523,0,32927,[491; 1039; 3527]
1799829652,16,16907788,[2; 2; 239; 1882667]
1800343979,0,397699,[7; 17; 337; 44893]
1800475348,594,580159755,[2; 2; 7; 64302691]
1801922705,0,493917,[5; 11; 587; 55813]
1807710820,797,798695632,[2; 2; 5; 90385541]
1813629226,0,601681,[2; 13331; 68023]
1814136521,0,86382,[17; 17; 653; 9613]
1814463477,0,654280,[3; 3; 3; 907; 74093]
1818769237,390,400217409,[43; 42296959]
1819400050,0,10691,[2; 5; 5; 13; 23; 131; 929]
1819465060,0,151810,[2; 2; 5; 7; 7; 109; 17033]
1820521222,657,654326009,[2; 13; 70020047]
1821972349,16188,16186205044,[1821972349]
1827916702,0,655990,[2; 109; 113; 74203]
1828915827,188,187628638,[3; 29; 21022021]
1831069067,15,5118350,[3319; 551693]
1834108923,0,3625053,[3; 1487; 411143]
1834551879,0,3023371,[3; 1783; 342971]
1835622763,1266,1261774792,[13; 141201751]
1835975318,0,88948,[2; 149; 659; 9349]
1836018608,47,44386257,[2; 2; 2; 2; 23; 4989181]
1837668111,5484,5490395557,[3; 612556037]
1837721610,16,9529393,[2; 3; 3; 5; 19; 1074691]
1843192148,0,125297,[2; 2; 7; 37; 127; 14009]
1844288779,0,156514,[311; 337; 17597]
1844792815,0,1572837,[5; 2069; 178327]
1846600107,0,326712,[3; 11; 37; 41; 36887]
1849967914,0,4748447,[2; 17; 101; 538721]
1850820956,0,239902,[2; 2; 37; 461; 27127]
1851371951,16,6366185,[11; 13; 19; 681403]
1851877909,15,17095947,[7; 137; 1931051]
1853131443,5500,5498854155,[3; 617710481]
1856990827,0,41481,[67; 79; 79; 4441]
1858057174,0,55593,[2; 73; 2069; 6151]
1858454063,0,5831643,[53; 53; 661607]
1859365386,0,1515962,[2; 3; 3; 601; 171877]
1860871284,469,463663309,[2; 2; 3; 3; 51690869]
1863176075,0,105626,[5; 5; 6353; 11731]
1866126595,0,238192,[5; 13873; 26903]
1867009543,16,23729403,[7; 101; 2640749]
1869803497,16,3779429,[17; 263; 418207]
1870177941,1859,1856871798,[3; 3; 207797549]
1870961996,0,135132,[2; 2; 17; 19; 97; 14929]
1871213430,0,103059,[2; 3; 5; 61; 89; 11489]
1872281553,0,92797,[3; 17; 3533; 10391]
1874396648,62,68042963,[2; 2; 2; 31; 7558051]
1875053147,0,487930,[11; 11; 281; 55147]
1876712747,204,210757643,[7; 13; 20623217]
1876752997,0,17106,[7; 239; 677; 1657]
1876830094,8359,8357955636,[2; 938415047]
1878984219,813,802692725,[3; 7; 89475439]
1880067342,0,20954,[2; 3; 389; 397; 2029]
1881032646,47,53260516,[2; 3; 53; 5915197]
1881225924,15,5894077,[2; 2; 3; 251; 624577]
1883225167,1000,1009642716,[17; 110777951]
1883648823,797,799241292,[3; 7; 89697563]
1887300066,16,16809432,[2; 3; 167; 1883533]
1887814980,16,5720885,[2; 2; 3; 3; 5; 17; 616933]
1888084696,0,5303515,[2; 2; 2; 409; 577043]
1892341516,0,191580,[2; 2; 13; 1777; 20479]
1894809772,0,382304,[2; 2; 29; 383; 42649]
1897762014,0,409673,[2; 3; 3; 3; 761; 46181]
1902417892,4250,4238281443,[2; 2; 475604473]
1904259903,0,18816,[3; 7; 7; 13; 557; 1789]
1905259861,0,53026,[283; 1153; 5839]
1912976445,0,1337639,[3; 5; 29; 29; 151643]
1913513697,0,47895,[3; 3; 61; 661; 5273]
1917431121,47,50308559,[3; 113; 5656139]
1919619193,15,10369693,[1663; 1154311]
1920521096,157,163993741,[2; 2; 2; 13; 18466549]
1922071303,0,192007,[167; 563; 20443]
1922331920,218,218237387,[2; 2; 2; 2; 5; 24029149]
1925629338,172,166748131,[2; 3; 17; 18878719]
1928648795,16,6901156,[5; 523; 737533]
1929559047,453,452905323,[3; 13; 49475873]
1929886104,0,22665,[2; 2; 2; 3; 17; 2081; 2273]
1932194151,0,79113,[3; 3; 19; 1283; 8807]
1935198221,16,25437373,[11; 61; 2884051]
1935675907,1593,1598121233,[11; 175970537]
1938107274,157,150757618,[2; 3; 19; 17000941]
1939433542,515,509586483,[2; 17; 57042163]
1942850985,0,1281191,[3; 5; 19; 47; 145043]
1946211260,125,123470727,[2; 2; 5; 7; 13901509]
1948833542,0,6842,[2; 103; 127; 163; 457]
1950076453,0,258718,[13; 37; 139; 29167]
1951112879,422,427921670,[41; 47588119]
1954715447,563,560051983,[31; 63055337]
1957433383,0,313028,[59; 941; 35257]
1965383813,17548,17541221126,[1965383813]
1966095523,0,12441152,[7; 199; 1411411]
1966463654,15,1819583,[2; 5059; 194353]
1967745067,0,513588,[33863; 58109]
1969090878,0,562766,[2; 3; 19; 271; 63737]
1970195255,500,508883880,[5; 7; 56291293]
1970679522,0,1153756,[2; 3; 7; 359; 130699]
1974139081,0,1042999,[16699; 118219]
1976833352,172,170615651,[2; 2; 2; 13; 19008013]
1980653023,16,5749965,[31; 103; 620311]
1981208687,17626,17633234678,[1981208687]
1984546484,4437,4429534277,[2; 2; 496136621]
1985534794,8829,8828705693,[2; 992767397]
1985552279,47,58587978,[307; 6467597]
1987986801,0,5452760,[3; 29; 37; 617579]
1991391409,0,2073596,[7; 7; 173; 234917]
1993998601,47,52559196,[7; 7; 7; 5813407]
1996298215,3578,3577680762,[5; 399259643]
1998999816,0,348094,[2; 2; 2; 3; 11; 193; 39233]
1999111757,63,48949539,[367; 5447171]
2002774595,3563,3569144762,[5; 400554919]
2008153840,0,2875410,[2; 2; 2; 2; 5; 7; 11; 325999]
2014082040,0,448588,[2; 2; 2; 3; 5; 331; 50707]
2014406433,156,152716180,[3; 3; 13; 17217149]
2016318774,0,35921,[2; 3; 37; 2377; 3821]
2018086783,17938,17945413392,[2018086783]
2020709652,0,73981,[2; 2; 3; 13; 1597; 8111]
2022205057,797,787136687,[23; 87921959]
2022475219,297,302193035,[59; 34279241]
2024923345,16,10511668,[5; 359; 1128091]
2026360454,9094,9102167719,[2; 1013180227]
2026982753,625,622445475,[29; 69895957]
2031843970,0,3362057,[2; 5; 13; 41; 381209]
2032243973,18063,18056303986,[2032243973]
2032333984,578,578071191,[2; 2; 2; 2; 2; 63510437]
2033457089,219,216351522,[83; 24499483]
2034656101,0,7055959,[17; 157; 762329]
2045106785,16,3703309,[5; 1009; 405373]
2054406207,31,38607214,[3; 7; 23; 4253429]
2054842047,0,854412,[3; 3; 3; 787; 96703]
2054979820,0,201416,[2; 2; 5; 4523; 22717]
2056797202,78,70203797,[2; 131; 7850371]
2060458365,172,182789533,[3; 5; 7; 19623413]
2061920757,16,5052922,[3; 13; 101; 523463]
2063086820,922,922707743,[2; 2; 5; 103154341]
2067116033,18391,18398344801,[2067116033]
2067456331,18407,18397114070,[2067456331]
2070692349,563,567185344,[3; 11; 62748253]
2072517819,31,25675565,[3; 241; 2866553]
2073104847,16,21680182,[3; 3; 3; 3; 11; 2326717]
2076720762,3109,3110145656,[2; 3; 346120127]
2080172901,0,452437,[3; 13577; 51071]
2084498618,47,39797318,[2; 233; 4473173]
2086281642,0,1513824,[2; 3; 2027; 171541]
2086832326,0,154376,[2; 61; 983; 17401]
2088665314,0,45329,[2; 197; 1063; 4987]
2092662295,78,86364509,[5; 43; 9733313]
2093697824,594,582103351,[2; 2; 2; 2; 2; 65428057]
2097885291,0,1788793,[3; 3449; 202753]
2097916807,156,158412692,[7; 17; 17629553]
2099777821,0,651286,[28499; 73679]
2100639611,0,172336,[7; 23; 673; 19387]
2101570432,0,857833,[2; 2; 2; 2; 2; 2; 2; 13; 13; 97151]
2102553238,313,305703482,[2; 31; 33912149]
2103857494,0,15823,[2; 571; 1291; 1427]
2104465787,203,210973599,[89; 23645683]
2106791195,3781,3782256957,[5; 421358239]
2109318882,0,13684,[2; 3; 11; 41; 601; 1297]
2110403761,18782,18774700667,[2110403761]
2111073876,563,567589458,[2; 2; 3; 3; 58640941]
2111967148,0,1285467,[2; 2; 3733; 141439]
2116926451,18954,18952658793,[2116926451]
2120432916,0,322436,[2; 2; 3; 7; 17; 41; 36217]
2121843854,734,730248554,[2; 13; 81609379]
2124555437,18892,18891892019,[2124555437]
2127488950,375,380813522,[2; 5; 5; 42549779]
2132408944,15,5360818,[2; 2; 2; 2; 227; 587117]
2134084098,0,10240121,[2; 3; 307; 1158569]
2134561422,0,27796,[2; 3; 7; 7; 19; 131; 2917]
2134685419,18986,18984156593,[2134685419]
2137313224,0,47040,[2; 2; 2; 29; 1811; 5087]
2138746151,78,75783992,[251; 8520901]
2141630329,19126,19129774051,[2141630329]
2142654891,31,28686107,[3; 13; 17; 3231757]
2145217262,9532,9529968795,[2; 1072608631]
2146105518,0,88521,[2; 3; 19; 1933; 9739]
