number, runtime (milliseconds), runtime (nanoseconds), prime factors
275100214,1281,1267431105,[2; 137550107]
279418445,500,509624969,[5; 55883689]
287419768,516,514320817,[2; 2; 2; 35927471]
290304985,0,23092,[5; 103; 241; 2339]
292987873,2859,2857571407,[292987873]
293078585,532,534361023,[5; 58615717]
293080485,0,3666105,[3; 5; 47; 415717]
293655551,375,378974697,[7; 41950793]
294488850,16,17639470,[2; 3; 5; 5; 1963259]
294584422,0,47040,[2; 11; 11; 241; 5051]
301753478,0,5421543,[2; 13; 19; 610837]
303539767,0,187731,[73; 197; 21107]
306542185,0,80823,[5; 6857; 8941]
315879812,875,861562514,[2; 2; 78969953]
320736287,31,39039551,[79; 4059953]
321310633,16,15055705,[7; 29; 1582811]
321442484,78,69674387,[2; 2; 11; 7305511]
321679438,0,483654,[2; 3229; 49811]
322439155,0,138126,[5; 43; 97; 15461]
323187236,0,392568,[2; 2; 2029; 39821]
325643857,0,46612,[7; 7; 7; 11; 17; 5077]
326887286,0,11547,[2; 11; 19; 709; 1103]
327805525,125,123224411,[5; 5; 13112221]
329005060,0,64145,[2; 2; 5; 2411; 6823]
332481465,78,76833405,[3; 3; 5; 7388477]
336148207,47,56831686,[53; 6342419]
336672135,78,79078484,[3; 3; 5; 7481603]
337073208,0,547799,[2; 2; 2; 3; 227; 61871]
338005752,47,42354997,[2; 2; 2; 3; 7; 2011939]
341511114,0,98784,[2; 3; 7; 739; 11003]
344719998,0,151382,[2; 3; 3; 7; 7; 23; 16993]
345854740,0,284804,[2; 2; 5; 7; 7; 11; 32083]
362001029,0,7697,[13; 193; 223; 647]
363092423,3453,3445150611,[363092423]
377873872,0,204409,[2; 2; 2; 2; 1031; 22907]
378007930,406,405411450,[2; 5; 37800793]
378589690,422,420799428,[2; 5; 37858969]
388376983,16,23796114,[151; 2572033]
389704118,0,319870,[2; 5407; 36037]
393084790,62,51117643,[2; 5; 7; 5615497]
393383149,0,53882,[31; 37; 59; 5813]
393592040,0,47895,[2; 2; 2; 5; 1889; 5209]
395110458,219,217138796,[2; 3; 3; 21950581]
396348184,453,458460714,[2; 2; 2; 49543523]
401597850,32,24900693,[2; 3; 5; 5; 2677319]
401941499,0,542668,[6571; 61169]
404524145,15,19578362,[5; 37; 2186617]
405527560,0,227501,[2; 2; 2; 5; 397; 25537]
405918699,0,361351,[3; 3313; 40841]
408516333,32,29495191,[3; 41; 3321271]
414994268,0,892900,[2; 2; 13; 79; 101021]
416377497,0,1892280,[3; 647; 214517]
419403382,1953,1953839489,[2; 209701691]
420106404,359,354195024,[2; 2; 3; 35008867]
420803242,1969,1970681422,[2; 210401621]
423175708,969,963512567,[2; 2; 105793927]
428145011,562,560185405,[7; 61163573]
438263546,0,558917,[2; 7; 7; 71; 62987]
439417018,0,810794,[2; 2393; 91813]
445258295,813,815720591,[5; 89051659]
445485090,0,11118,[2; 3; 5; 41; 373; 971]
446636880,0,5469010,[2; 2; 2; 2; 3; 3; 5; 620329]
447397210,0,1047276,[2; 5; 13; 29; 118673]
450179163,78,65117093,[3; 3; 7; 7145701]
451527979,0,12401,[7; 71; 809; 1123]
455398184,0,267272,[2; 2; 2; 31; 61; 30103]
460342617,0,52171,[3; 7; 3821; 5737]
467672338,0,105198,[2; 7; 2851; 11717]
469623042,0,379311,[2; 3; 3; 3; 7; 29; 42841]
469633081,4328,4335964137,[469633081]
470791963,4360,4358686890,[470791963]
472907332,0,252304,[2; 2; 4231; 27943]
475794909,0,559345,[3; 3; 29; 29; 62861]
476923464,0,242896,[2; 2; 2; 3; 3; 3; 3; 3; 3; 3; 27259]
477614411,4453,4442617308,[477614411]
477744038,0,118027,[2; 31; 587; 13127]
478423129,0,9836,[17; 113; 271; 919]
484224660,16,24857074,[2; 2; 3; 3; 5; 2690137]
488446156,0,58158,[2; 2; 11; 1759; 6311]
488762933,0,53026,[37; 2267; 5827]
489863307,1562,1563215191,[3; 163287769]
492591882,16,10202061,[2; 3; 73; 1124639]
493601582,2328,2329560748,[2; 246800791]
494572407,219,221064475,[3; 7; 23551067]
499942467,0,497338,[3; 3; 23; 43; 56167]
499967221,0,149672,[13; 29; 79; 16787]
499997760,0,5559,[2; 2; 2; 2; 2; 2; 3; 5; 31; 53; 317]
506223703,16,9963014,[449; 1127447]
506641862,0,15395,[2; 127; 1249; 1597]
507432959,0,2272446,[11; 179; 257711]
509499514,15,12594246,[2; 179; 1423183]
511189297,78,72357790,[67; 7629691]
513120146,0,1791358,[2; 7; 11; 17; 195997]
514465648,344,355290194,[2; 2; 2; 2; 32154103]
515103683,15,23852134,[193; 2668931]
517731550,0,1864911,[2; 5; 5; 7; 7; 211319]
518263575,0,1758430,[3; 5; 5; 41; 168541]
519445924,1219,1209933593,[2; 2; 129861481]
521396166,0,2089419,[2; 3; 367; 236783]
521598840,0,32500,[2; 2; 2; 3; 5; 7; 179; 3469]
524298005,16,12328684,[5; 7; 11; 1361813]
526400995,0,701319,[5; 1327; 79337]
526959121,0,11546,[13; 89; 419; 1087]
529131359,0,3536960,[1319; 401161]
529920096,47,49112039,[2; 2; 2; 2; 2; 3; 5520001]
533681231,0,1421455,[3313; 161087]
534076253,5094,5096021337,[534076253]
534119556,484,470214232,[2; 2; 3; 44509963]
537360170,500,499605935,[2; 5; 53736017]
539370171,0,31645,[3; 3; 3; 3; 23; 89; 3253]
539786106,0,359213,[2; 3; 3; 3; 3; 3; 29; 38299]
540176941,5016,5024827567,[540176941]
542996130,0,3011825,[2; 3; 5; 53; 341507]
543161576,16,1640831,[2; 2; 2; 379; 179143]
545794935,0,1607476,[3; 5; 7; 29; 179243]
546550178,0,72698,[2; 149; 229; 8009]
547903993,47,53919072,[7; 13; 6020923]
549952880,0,47040,[2; 2; 2; 2; 5; 1361; 5051]
550288736,0,391712,[2; 2; 2; 2; 2; 389; 44207]
552099189,1750,1748812568,[3; 184033063]
553755198,890,890304643,[2; 3; 92292533]
555607452,0,1518528,[2; 2; 3; 271; 170851]
559727507,32,24114702,[211; 2652737]
561115319,5703,5699390494,[561115319]
562873561,5344,5350312536,[562873561]
563939804,0,144540,[2; 2; 67; 131; 16063]
564680604,0,12401,[2; 2; 3; 109; 349; 1237]
572474746,0,546088,[2; 4637; 61729]
574403347,0,3421,[7; 53; 73; 127; 167]
575342674,0,285659,[2; 37; 241; 32261]
576351129,0,52599,[3; 139; 239; 5783]
578804679,16,11021835,[3; 3; 53; 1213427]
585383338,0,10691,[2; 17; 43; 431; 929]
588333106,2859,2862959167,[2; 294166553]
591457239,609,610185640,[3; 3; 65717471]
592365583,0,387437,[13537; 43759]
592407106,16,9429327,[2; 311; 952423]
593031790,0,1011354,[2; 5; 13; 41; 111263]
599627701,0,7830404,[677; 885713]
600200861,16,1294448,[13; 17; 19; 142939]
601854368,0,53882,[2; 2; 2; 2; 2; 3209; 5861]
604084724,0,37204,[2; 2; 31; 1217; 4003]
604207542,953,963553620,[2; 3; 100701257]
604864280,141,139341931,[2; 2; 2; 5; 15121607]
605224630,562,558781055,[2; 5; 60522463]
612184632,0,319443,[2; 2; 2; 3; 709; 35977]
613136189,0,210823,[83; 311; 23753]
